Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int","Volume Open Interest Ratio",IV,Type,"Last Trade","Avg IV"
"4,025.00",+1.15%,50.60,52.35,54.10,53.10,-15.00,-22.03%,183,"1,335",12.57%,Call,12/02/22,14.36%
"4,030.00",+1.02%,46.80,48.50,50.20,47.70,-20.44,-30.00%,96,217,11.39%,Call,12/02/22,14.36%
"4,035.00",+0.90%,43.20,44.55,45.90,45.80,-17.90,-28.10%,133,132,12.99%,Call,12/02/22,14.36%
"4,040.00",+0.78%,40.50,40.95,41.40,42.20,-21.62,-33.88%,147,136,12.16%,Call,12/02/22,14.36%
"4,045.00",+0.66%,37.10,37.55,38.00,34.70,-25.57,-42.43%,108,282,12.29%,Call,12/02/22,14.36%
"4,050.00",+0.53%,33.90,34.30,34.70,35.10,-19.37,-35.56%,661,"1,375",12.39%,Call,12/02/22,14.36%
"4,055.00",+0.41%,30.90,31.30,31.70,31.70,-15.39,-32.68%,264,114,12.79%,Call,12/02/22,14.36%
"4,060.00",+0.29%,27.90,28.30,28.70,31.40,-13.00,-29.28%,320,261,12.57%,Call,12/02/22,14.36%
"4,065.00",+0.16%,25.30,25.65,26.00,26.40,-15.00,-36.23%,161,134,12.70%,Call,12/02/22,14.36%
"4,070.00",+0.04%,22.70,23.05,23.40,23.80,-17.13,-41.85%,498,"1,518",12.74%,Call,12/02/22,14.36%
"4,075.00",-0.08%,20.30,20.60,20.90,21.48,-12.45,-36.69%,"1,000","1,346",12.77%,Call,12/02/22,14.36%
"4,080.00",-0.20%,18.00,18.35,18.70,19.30,-13.70,-41.52%,207,258,12.80%,Call,12/02/22,14.36%
"4,085.00",-0.33%,16.00,16.30,16.60,16.26,-11.94,-42.34%,256,256,12.83%,Call,12/02/22,14.36%
"4,090.00",-0.45%,14.10,14.35,14.60,14.91,-13.79,-48.05%,436,241,12.86%,Call,12/02/22,14.36%
"4,095.00",-0.57%,12.30,12.60,12.90,12.59,-11.51,-47.76%,185,269,12.87%,Call,12/02/22,14.36%
"4,100.00",-0.70%,10.80,11.05,11.30,11.00,-11.15,-50.34%,"2,444","1,266",12.89%,Call,12/02/22,14.36%
"4,105.00",-0.82%,9.30,9.55,9.80,9.87,-9.48,-48.99%,107,140,12.90%,Call,12/02/22,14.36%
"4,110.00",-0.94%,8.00,8.25,8.50,8.70,-9.25,-51.53%,179,248,12.91%,Call,12/02/22,14.36%
"4,115.00",-1.06%,6.90,7.15,7.40,7.37,-8.86,-54.59%,240,245,13.14%,Call,12/02/22,14.36%
"4,120.00",-1.19%,5.80,6.05,6.30,6.50,-9.28,-58.81%,440,481,12.91%,Call,12/02/22,14.36%
"4,025.00",-1.15%,9.50,9.70,9.90,9.50,-6.33,-39.99%,592,400,15.91%,Put,12/02/22,14.36%
"4,030.00",-1.02%,10.70,10.90,11.10,10.58,-6.16,-36.80%,352,294,16.00%,Put,12/02/22,14.36%
"4,035.00",-0.90%,11.90,12.15,12.40,12.19,-6.05,-33.17%,161,46,15.93%,Put,12/02/22,14.36%
"4,040.00",-0.78%,13.30,13.60,13.90,13.10,-7.15,-35.31%,382,120,15.86%,Put,12/02/22,14.36%
"4,045.00",-0.66%,14.90,15.20,15.50,14.67,-4.31,-22.71%,620,333,15.82%,Put,12/02/22,14.36%
"4,050.00",-0.53%,16.70,17.00,17.30,16.41,-6.39,-28.03%,"1,672",717,15.83%,Put,12/02/22,14.36%
"4,055.00",-0.41%,18.60,18.90,19.20,17.20,-6.30,-26.81%,566,209,15.82%,Put,12/02/22,14.36%
"4,060.00",-0.29%,20.70,21.00,21.30,20.40,-5.22,-20.37%,525,287,15.84%,Put,12/02/22,14.36%
"4,065.00",-0.16%,22.90,23.20,23.50,22.60,-5.00,-18.12%,235,75,15.83%,Put,12/02/22,14.36%
"4,070.00",-0.04%,25.30,25.60,25.90,24.90,-3.90,-13.54%,322,45,15.85%,Put,12/02/22,14.36%
"4,075.00",+0.08%,27.90,28.20,28.50,28.50,-4.70,-14.16%,395,320,16.08%,Put,12/02/22,14.36%
"4,080.00",+0.20%,30.60,31.05,31.50,31.35,-2.91,-8.49%,40,84,16.20%,Put,12/02/22,14.36%
"4,085.00",+0.33%,33.50,33.90,34.30,34.25,-1.65,-4.60%,51,42,16.26%,Put,12/02/22,14.36%
"4,090.00",+0.45%,36.60,37.05,37.50,36.64,-3.00,-7.57%,281,36,15.93%,Put,12/02/22,14.36%
"4,095.00",+0.57%,39.90,40.30,40.70,39.64,-9.26,-18.94%,12,57,16.29%,Put,12/02/22,14.36%
"4,100.00",+0.70%,42.60,43.95,45.30,43.24,-1.56,-3.48%,293,246,16.12%,Put,12/02/22,14.36%
"4,105.00",+0.82%,45.50,47.20,48.90,46.83,-9.07,-16.23%,12,30,16.27%,Put,12/02/22,14.36%
"4,110.00",+0.94%,49.70,51.20,52.70,50.85,-2.75,-5.13%,30,29,16.64%,Put,12/02/22,14.36%
"4,115.00",+1.06%,52.90,54.70,56.50,57.10,0.00,unch,0,23,16.84%,Put,12/01/22,14.36%
"4,120.00",+1.19%,56.80,58.65,60.50,85.30,25.40,+42.40%,1,6,17.04%,Put,12/02/22,14.36%
"Downloaded from Barchart.com as of 12-03-2022 09:50am CST"
